[132236002 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132236003 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132236158 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132236159 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132236159 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132236310 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132236311 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132236311 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132236459 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132236460 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132236461 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132236598 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132236599 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132236599 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132236791 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132236791 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132236792 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132237166 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132237167 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132237168 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132237695 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132237695 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132237696 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132238085 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132238086 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132238086 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132238703 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132238705 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132238706 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132239278 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132239279 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132239279 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132239694 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132239695 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132239695 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132240350 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132240352 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_GETNEXT
[132240354 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132244622 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> 
[132244623 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_ENTRYPOINT/MSG_GET
[132244623 dsm.cpp  2446    18 0000795C] TWRC_SUCCESS

[132244626 dsm.cpp  2382    18 0000795C] TWAIN Sharp Test App -> DSM
[132244627 dsm.cpp  2391    18 0000795C] DG_CONTROL/DAT_IDENTITY/MSG_OPENDS
[132244628 apps.cpp 1539    18 0000795C]   Datasource: "TWAIN Working Group"
[132244628 apps.cpp 1540    18 0000795C]               "Software Scan"
[132244629 apps.cpp 1541    18 0000795C]               "TWAIN2 FreeImage Software Scanne" version: 2.1
[132244629 apps.cpp 1542    18 0000795C]               TWAIN 2.1
[132244641 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\sample2\TWAINDS_Sample32.ds (TWAINDSM_USEAPPID:1)
[132244652 dsm.cpp  2446   203 0000795C] TWRC_SUCCESS

[132244656 dsm.cpp  2382   203 0000795C] TWAIN Sharp Test App -> TWAIN2 FreeImage Software Scanne
[132244656 dsm.cpp  2391   203 0000795C] DG_CONTROL/DAT_CALLBACK/MSG_REGISTER_CALLBACK
[132244657 dsm.cpp  2446   203 0000795C] TWRC_SUCCESS

